r;364423863;95038;3276293;0;15
r;364423862;95038;66069;0;15
r;364423861;95038;99567;0;15
r;364423860;95038;106042;0;15
r;364423859;95038;2342624;0;15
r;364423858;95038;92090;0;15
r;364423857;95038;145246;0;15
r;364423856;95038;130400;0;15
r;364423855;95038;78402;0;15
r;364423854;95038;334188;0;15
r;364423853;95038;51589;3;15
r;364423852;95038;14304689;0;15
r;364423851;95038;14304688;0;15
r;364423850;95038;14304686;0;15
r;364423849;95038;14304687;0;15
r;364423848;95038;5876072;0;15
r;364423841;95038;146274;0;15
r;364423840;95038;226029;0;15
r;364423839;95038;381071;0;15
r;364423838;95038;19499;0;15
r;364423836;95038;81928;0;15
r;364423835;95038;14304687;6;15
r;364423831;95038;104763;0;15
r;364423830;95038;3179158;0;15
r;364423829;95038;223267;0;15
r;364423828;95038;96920;0;15
r;364423826;95038;14304621;0;15
r;364423825;95038;47638;0;15
r;364423820;95038;322049;31;15
r;364423819;95038;321972;31;15
r;364423816;95038;252355;3;15
r;364423812;95038;230218;0;15
r;364423806;95038;131717;31;15
r;364423804;95038;121678;31;15
r;364423803;95038;106211;31;15
r;364423802;95038;95706;3;15
r;364423801;95038;87222;31;15
r;364423799;95038;79444;31;15
r;364423797;95038;71654;31;15
r;364423794;95038;67365;6;15
r;364423793;95038;55077;31;15
r;364423792;95038;51528;0;15
r;364423791;95038;50877;6;15
r;364423787;95038;4253;31;15
r;364423783;95038;14304666;0;15
r;364423776;95038;96312;3;15
r;364423775;95038;262275;3;15
r;364423774;95038;14300618;0;15
r;364423773;95038;106100;0;15
r;364423772;95038;2026;0;15
r;364423771;95038;52047;0;15
r;364423770;95038;81399;0;15
r;364423769;95038;216782;0;15
r;364423768;95038;100640;0;15
r;364423767;95038;240516;0;15
r;364423766;95038;218298;0;15
r;364423765;95038;56256;0;15
r;364423764;95038;267483;0;15
r;364423763;95038;73088;0;15
r;364423762;95038;102647;0;15
r;364423761;95038;219836;0;15
r;364423757;95038;15485;5;15
r;364423756;95038;20691;5;15
r;364423753;95038;1916647;5;15
r;364423752;95038;82106;0;15
r;364423751;95038;2305797;0;15
r;364423750;95038;15485;0;15
r;364423749;95038;67906;0;15
r;364423748;95038;1916647;0;15
r;364423747;95038;20691;0;15
r;364423746;95038;14304672;6;15
r;364423745;95038;14304672;5;15
r;364423744;95038;14304667;37;15
r;364423743;95038;3294075;9;15
r;364423742;95038;3294075;0;15
r;364423740;95038;373450;0;15
r;364423738;95038;241325;0;15
r;364423737;95038;240051;0;15
r;364423736;95038;233959;67;15
r;364423735;95038;233959;0;15
r;364423734;95038;213880;3;15
r;364423733;95038;213880;0;15
r;364423732;95038;183136;0;15
r;364423730;95038;156055;0;15
r;364423729;95038;143180;0;15
r;364423728;95038;142661;0;15
r;364423726;95038;136559;0;15
r;364423724;95038;132300;0;15
r;364423722;95038;116599;0;15
r;364423720;95038;115073;0;15
r;364423718;95038;107233;0;15
r;364423717;95038;100204;9;15
r;364423716;95038;100204;0;15
r;364423715;95038;97674;0;15
r;364423713;95038;94262;0;15
r;364423712;95038;85755;0;15
r;364423711;95038;81924;37;15
r;364423709;95038;76169;0;15
r;364423707;95038;53242;0;15
r;364423705;95038;46543;3;15
r;364423704;95038;46543;0;15
r;364423702;95038;35035;0;15
r;364423700;95038;32667;0;15
r;364423699;95038;31412;37;15
r;364423698;95038;29093;9;15
r;364423697;95038;29093;0;15
r;364423696;95038;26642;37;15
r;364423694;95038;12078;0;15
r;364423693;95038;8318;37;15
r;364367638;95038;143757;0;15
r;364367549;95038;54126;0;15
r;418029253;95038;41417;0;14
r;364423837;95038;132958;0;14
r;418029255;95038;152055;0;13
r;418029254;95038;199184;0;13
r;418029250;95038;2104220;0;13
r;418029249;95038;146683;0;13
r;9904860;95038;169483;6;13
r;364423785;95038;95706;0;11
r;473941244;95038;43125;3;10
r;473941243;95038;250407;0;10
r;473941242;95038;122875;0;10
r;473941241;95038;68460;0;10
r;473941240;95038;3404745;0;10
r;473941239;95038;238800;0;10
r;473941238;95038;238065;0;10
r;473941237;95038;14657041;15;10
r;473941236;95038;153397;15;10
r;473941235;95038;2604530;15;10
r;473941234;95038;153221;15;10
r;473941233;95038;137680;15;10
r;473941232;95038;15076323;15;10
r;473941231;95038;15088678;15;10
r;473941230;95038;14962485;15;10
r;473941229;95038;14962484;15;10
r;473941228;95038;15061080;15;10
r;473941227;95038;15198337;28;10
r;473941226;95038;15440304;0;10
r;473941225;95038;15215075;0;10
r;473941224;95038;15215075;5;10
r;473941223;95038;15440304;5;10
r;473941222;95038;2459035;42;10
r;473941221;95038;7291022;42;10
r;473941220;95038;14304672;0;10
r;368681081;95038;105868;777;10
r;368681077;95038;2474570;777;10
r;368681073;95038;10828013;777;10
r;368681070;95038;6087355;777;10
r;364423875;95038;214275;0;10
r;364423786;95038;252355;0;10
r;364423759;95038;96312;0;10
r;364423758;95038;262275;0;10
r;323871211;95038;93185;777;10
r;323871210;95038;12034240;777;10
r;323871207;95038;402557;777;10
r;323871206;95038;214733;777;10
r;323871203;95038;2140836;777;10
r;323871202;95038;406052;777;10
r;323871200;95038;32813;777;10
r;323871198;95038;107326;777;10
r;323871196;95038;288381;777;10
r;323871193;95038;11770502;777;10
r;323871191;95038;105453;777;10
r;323871189;95038;393521;777;10
r;323871187;95038;26686;777;10
r;323871185;95038;144829;777;10
r;323871183;95038;84330;777;10
r;323871181;95038;62202;777;10
r;323871179;95038;120673;777;10
r;323871177;95038;41407;777;10
r;323871175;95038;67681;777;10
r;323871172;95038;75051;777;10
r;323871171;95038;429671;777;10
r;323871168;95038;79993;777;10
r;323871167;95038;172944;777;10
r;22652966;95038;31388;777;10
r;22652965;95038;111751;777;10
r;22652964;95038;155456;777;10
r;22652963;95038;51589;777;10
r;22652962;95038;153252;777;10
r;4249639;95038;248322;777;10
r;4249638;95038;230846;777;10
r;4249637;95038;53578;777;10
r;4249636;95038;22710;777;10
r;4249635;95038;6790;777;10
r;4249634;95038;155553;777;10
r;4249633;95038;143431;777;10
r;4249632;95038;61921;777;10
r;4249631;95038;32403;777;10
r;4249630;95038;66422;777;10
r;4249629;95038;77735;777;10
r;4249628;95038;84412;777;10
r;4249627;95038;267377;777;10
r;4249626;95038;67115;777;10
r;4249625;95038;189524;777;10
r;4249624;95038;96963;777;10
r;4249623;95038;65820;777;10
r;4249622;95038;275279;777;10
r;4249621;95038;89142;777;10
r;4249620;95038;167532;777;10
r;4249619;95038;128602;777;10
r;4249618;95038;96256;777;10
r;4249617;95038;116350;777;10
r;4249616;95038;176827;777;10
r;4249615;95038;36716;777;10
r;4249614;95038;160313;777;10
